dataset,model,dimension,n_folds,mae_mean,mae_sd,rmse_mean,spearman_rho_mean,spearman_rho_sd
valid_32,CNN1D,overall_aesthetic,18,0.471989490919643,0.1299826559975244,0.5830260338478479,0.3756872013103405,0.4100017207551759
valid_32,GRU_Attention,overall_aesthetic,18,0.4529950204822752,0.1411133711779666,0.5650308958565522,0.4619659371167893,0.3603983622729585
valid_32,LSTM_Attention,overall_aesthetic,18,0.4648550069994396,0.150014861395737,0.5822965867667658,0.4001382394716926,0.402829130092503
valid_32,Mean,overall_aesthetic,18,0.5185664809412427,0.1222208561243749,0.6397820567104092,,
valid_32,Ridge,overall_aesthetic,18,0.3272749726027988,0.0853981098725622,0.4148976484448149,0.6052282506886992,0.2962973001198656
valid_32,SVR_RBF,overall_aesthetic,18,0.352517749502004,0.100823348518552,0.4369167728404123,0.6310338182680786,0.2681898934012032
balanced_24,CNN1D,overall_aesthetic,18,0.5126057863235474,0.1687821428445559,0.6231397481351455,0.3888444814652722,0.422070370566863
balanced_24,GRU_Attention,overall_aesthetic,18,0.5059920930200152,0.1541312801907374,0.6170586599916883,0.4290635059708512,0.394664809037654
balanced_24,LSTM_Attention,overall_aesthetic,18,0.5197508401340909,0.1674457125921593,0.6245123256824485,0.3598423534885503,0.4303548857433833
balanced_24,Mean,overall_aesthetic,18,0.5585648086335924,0.1484522798174317,0.6805827517078904,,
balanced_24,Ridge,overall_aesthetic,18,0.3557177788283379,0.1199685640796205,0.4409688229031294,0.6092733056451771,0.2870459400793877
balanced_24,SVR_RBF,overall_aesthetic,18,0.3547321165871306,0.1139921310665374,0.4425001202411591,0.6616290890782666,0.2848649095467125
